Molecule|Datafile|Disp2 (CCD)|Disp20|Disp21|Disp22 (S) (CCD)|Disp22 (SDQ)|Disp22 (T)|Disp22 (T) (CCD)|Dispersion|Electrostatics|Elst10,r|Elst12,r|Est. Disp22 (T)|Exch-Disp20|Exch-Ind20,r|Exch-Ind22|Exch10|Exch10(S^2)|Exch11(S^2)|Exch12(S^2)|Exchange|Ind20,r|Induction|InteractionEnergy|delta HF,r (2)|delta MP2,r (2)
water#water|0000|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-9.360|-31.587|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|28.570|N/A|-9.105|-21.482|N/A|N/A
water#water|0006|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-2.403|-5.220|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|2.212|N/A|-0.771636|-6.182|N/A|N/A
water#water|0008|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-2.901|-9.093|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|3.496|N/A|-1.010|-9.508|N/A|N/A
water#water|0011|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-4.231|-6.490|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|6.245|N/A|-0.879619|-5.356|N/A|N/A
water#water|0012|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-3.689|-4.411|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|5.578|N/A|-0.60709|-3.130|N/A|N/A
water#water|0016|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-4.890|-18.364|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|9.110|N/A|-3.520|-17.664|N/A|N/A
water#water|0017|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-3.909|-15.595|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|6.068|N/A|-2.567|-16.003|N/A|N/A
water#water|0018|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-3.394|-14.141|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|4.682|N/A|-2.111|-14.964|N/A|N/A
water#water|0019|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-3.196|-13.578|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|4.190|N/A|-1.944|-14.529|N/A|N/A
water#water|0020|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-3.261|-13.762|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|4.348|N/A|-1.998|-14.673|N/A|N/A
water#water|0021|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-3.605|-14.739|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|5.233|N/A|-2.294|-15.406|N/A|N/A
water#water|0022|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-4.326|-16.772|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|7.300|N/A|-2.959|-16.758|N/A|N/A
water#water|0023|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-5.647|-20.511|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|11.790|N/A|-4.326|-18.693|N/A|N/A
water#water|0024|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-8.046|-27.466|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|21.998|N/A|-7.244|-20.758|N/A|N/A
water#water|0200|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-1.310|5.295|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.884525|N/A|-0.21845|4.651|N/A|N/A
water#water|0201|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.168031|-2.447|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.00531679|N/A|-0.0495831|-2.659|N/A|N/A
water#water|0202|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.138288|1.275|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.0023451|N/A|-0.0390784|1.100|N/A|N/A
water#water|0203|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.0965871|-1.577|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.00142355|N/A|-0.0250321|-1.698|N/A|N/A
water#water|0204|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.140192|0.0550796|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.00564485|N/A|-0.0303343|-0.109802|N/A|N/A
water#water|0205|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.0711469|-0.35398|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.000193657|N/A|-0.0140947|-0.439028|N/A|N/A
water#water|0206|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.0415875|-0.981474|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|4.4581e-05|N/A|-0.0102126|-1.033|N/A|N/A
water#water|0208|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.0279638|0.557142|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|5.04096e-06|N/A|-0.0082626|0.52092|N/A|N/A
water#water|0209|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.0679403|0.530335|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.000636474|N/A|-0.0113857|0.451646|N/A|N/A
water#water|0211|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.19431|2.913|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.00623572|N/A|-0.0695081|2.656|N/A|N/A
water#water|0212|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.546029|-0.800523|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.138237|N/A|-0.0633046|-1.272|N/A|N/A
water#water|0213|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.276808|0.153979|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.0312285|N/A|-0.0478363|-0.139438|N/A|N/A
water#water|0214|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.103842|-1.018|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.00156509|N/A|-0.0270039|-1.147|N/A|N/A
water#water|0215|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.14394|-0.948324|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.00389335|N/A|-0.0280494|-1.116|N/A|N/A
water#water|0216|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.201794|1.273|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.00785122|N/A|-0.0469647|1.033|N/A|N/A
water#water|0217|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.109239|0.26588|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.00235148|N/A|-0.0209963|0.137997|N/A|N/A
water#water|0218|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.0482391|-0.821416|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.000104757|N/A|-0.00787498|-0.877425|N/A|N/A
water#water|0219|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.0409424|0.0568558|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|6.4246e-05|N/A|-0.00573519|0.0102425|N/A|N/A
water#water|0220|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.0596671|-0.0719611|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.000389834|N/A|-0.00892536|-0.140164|N/A|N/A
water#water|0222|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.762458|-1.231|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.239046|N/A|-0.138741|-1.893|N/A|N/A
water#water|0223|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.273806|1.262|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.0186564|N/A|-0.0636959|0.942807|N/A|N/A
water#water|0224|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.149107|-0.469017|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.00478505|N/A|-0.0388425|-0.652181|N/A|N/A
water#water|0225|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.203871|0.23157|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.0140033|N/A|-0.046522|-0.00482015|N/A|N/A
water#water|0226|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.0769157|-0.554377|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.000758061|N/A|-0.0166323|-0.647166|N/A|N/A
water#water|0227|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.115028|-1.720|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.001887|N/A|-0.02362|-1.857|N/A|N/A
water#water|0228|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.0611564|0.437079|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.000381091|N/A|-0.0108937|0.36541|N/A|N/A
water#water|0229|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.0810656|0.960938|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.00102421|N/A|-0.0112419|0.869654|N/A|N/A
